concept_id	search_id	label
HP_0000111	[0, 9, 3, 2, 1]	Renal juxtaglomerular cell hypertrophy/hyperplasia
HP_0000112	[0, 9, 7, 6, 0]	Nephropathy
HP_0000113	[0, 9, 3, 2, 2]	Polycystic kidney dysplasia
HP_0000114	[0, 9, 6, 5, 1]	Proximal tubulopathy
HP_0000117	[1, 9, 3, 0, 0]	Renal phosphate wasting
HP_0000119	[0, 2, 7, 5, 6, 0]	Abnormality of the genitourinary system
HP_0000121	[0, 9, 7, 4, 0]	Nephrocalcinosis
HP_0000122	[0, 6, 4, 7, 4, 0]	Unilateral renal agenesis
HP_0000123	[0, 9, 7, 2, 0]	Nephritis
HP_0000124	[0, 2, 4, 7, 1, 0]	Renal tubular dysfunction
HP_0000125	[0, 9, 3, 8, 0]	Pelvic kidney
HP_0000126	[0, 3, 4, 6, 0, 0]	Hydronephrosis
HP_0000127	[1, 7, 0, 6, 0]	Renal salt wasting
HP_0000128	[1, 7, 5, 8, 3]	Renal potassium wasting
HP_0000130	[0, 3, 6, 7, 0, 0]	Abnormality of the uterus
HP_0000131	[0, 7, 2, 5, 6, 0]	Uterine leiomyoma
HP_0000132	[0, 7, 0, 2, 1, 0]	Menorrhagia
HP_0000133	[1, 1, 3, 7, 1]	Gonadal dysgenesis
HP_0000134	[3, 5, 7, 5, 0]	Female hypogonadism
HP_0000135	[1, 3, 8, 2, 0]	Hypogonadism
HP_0000136	[0, 3, 6, 4, 3, 0]	Bifid uterus
HP_0000137	[0, 7, 5, 0, 2, 0]	Abnormality of the ovary
HP_0000138	[0, 7, 6, 0, 2, 0]	Ovarian cyst
HP_0000139	[0, 3, 6, 4, 6, 0]	Uterine prolapse
HP_0000140	[0, 7, 3, 6, 0]	Abnormality of the menstrual cycle
HP_0000141	[0, 7, 0, 2, 7, 0]	Amenorrhea
HP_0000142	[0, 7, 0, 0, 3, 0]	Abnormal vagina morphology
HP_0000143	[0, 7, 6, 4, 0, 0]	Rectovaginal fistula
HP_0000144	[0, 0, 3, 3, 0]	Decreased fertility
HP_0000145	[0, 3, 6, 3, 7, 0]	Transverse vaginal septum
HP_0000147	[1, 1, 3, 8, 0]	Polycystic ovaries
HP_0000148	[0, 3, 6, 2, 1, 0]	Vaginal atresia
HP_0000149	[0, 7, 6, 0, 0]	Ovarian gonadoblastoma
HP_0000150	[0, 7, 5, 4, 0]	Gonadoblastoma
HP_0000151	[0, 7, 0, 2, 7, 1]	Aplasia of the uterus
HP_0000152	[0, 4, 1, 5, 4, 0]	Abnormality of head or neck
HP_0000153	[0, 2, 4, 2, 2, 0]	Abnormality of the mouth
HP_0000154	[0, 2, 2, 2, 2, 0]	Wide mouth
HP_0000155	[0, 7, 7, 1, 4, 0]	Oral ulcer
HP_0000157	[0, 2, 1, 6, 3, 0]	Abnormality of the tongue
HP_0000158	[0, 2, 1, 5, 0, 0]	Macroglossia
HP_0000159	[0, 2, 7, 8, 5]	Abnormal lip morphology
HP_0000160	[0, 2, 2, 2, 4, 0]	Narrow mouth
HP_0000161	[0, 6, 5, 8, 3, 0]	Median cleft upper lip
HP_0000162	[0, 2, 2, 8, 8, 0]	Glossoptosis
HP_0000163	[0, 7, 4, 4, 0]	Abnormal oral cavity morphology
HP_0000164	[0, 2, 4, 2, 5, 0]	Abnormality of the dentition
HP_0000166	[0, 2, 4, 6, 4, 0]	Severe periodontitis
HP_0000168	[0, 2, 4, 2, 5, 1]	Abnormality of the gingiva
HP_0000169	[0, 5, 5, 7, 2, 0]	Gingival fibromatosis
HP_0000171	[0, 2, 1, 0, 0]	Microglossia
HP_0000172	[0, 2, 7, 8, 2, 0]	Abnormal uvula morphology
HP_0000174	[0, 2, 3, 0, 7, 0]	Abnormal palate morphology
HP_0000175	[0, 2, 3, 0, 2, 0]	Cleft palate
HP_0000176	[0, 2, 3, 0, 2, 1]	Submucous cleft hard palate
HP_0000177	[0, 2, 7, 8, 2, 1]	Abnormal upper lip morphology
HP_0000178	[0, 2, 7, 1, 3, 0]	Abnormal lower lip morphology
HP_0000179	[0, 2, 3, 6, 5, 0]	Thick lower lip vermilion
HP_0000180	[0, 2, 1, 4, 0]	Lobulated tongue
HP_0000182	[0, 0, 8, 7, 0, 0]	Movement abnormality of the tongue
HP_0000183	[0, 2, 2, 2, 7, 0]	Tongue muscle weakness
HP_0000185	[0, 2, 3, 0, 8, 0]	Cleft soft palate
HP_0000187	[0, 2, 4, 6, 1, 0]	Broad alveolar ridges
HP_0000188	[0, 2, 2, 8, 7, 0]	Short upper lip
HP_0000189	[0, 2, 2, 0, 7, 0]	Narrow palate
HP_0000190	[0, 2, 3, 5, 5, 0]	Abnormal oral frenulum morphology
HP_0000191	[0, 2, 0, 7, 8, 0]	Accessory oral frenulum
HP_0000193	[0, 2, 1, 5, 5, 0]	Bifid uvula
HP_0000194	[0, 2, 2, 2, 1, 0]	Open mouth
HP_0000196	[0, 2, 3, 6, 1, 0]	Lower lip pit
HP_0000197	[0, 2, 6, 7, 0]	Abnormal parotid gland morphology
HP_0000198	[0, 3, 2, 0, 1]	Absence of Stensen duct
HP_0000199	[0, 2, 1, 4, 1]	Tongue nodules
HP_0000200	[0, 2, 1, 1, 0]	Short lingual frenulum
HP_0000201	[0, 4, 3, 3, 5, 0]	Pierre-Robin sequence
HP_0000202	[0, 2, 3, 0, 1, 0]	Orofacial cleft
HP_0000204	[3, 4, 0, 6, 0]	Cleft upper lip
HP_0000205	[0, 0, 2, 1, 0]	Pursed lips
HP_0000206	[0, 7, 7, 1, 1, 0]	Glossitis
HP_0000207	[0, 2, 2, 2, 3, 0]	Triangular mouth
HP_0000211	[0, 0, 1, 8, 2]	Trismus
HP_0000212	[0, 0, 7, 4, 2, 2, 0]	Gingival overgrowth
HP_0000214	[0, 5, 9, 8, 7]	Lip telangiectasia
HP_0000215	[0, 2, 3, 6, 5, 1]	Thick upper lip vermilion
HP_0000216	[0, 2, 3, 2, 8, 0]	Broad secondary alveolar ridge
HP_0000217	[0, 2, 4, 0, 5]	Xerostomia
HP_0000218	[0, 2, 0, 2, 1]	High palate
HP_0000219	[0, 2, 3, 6, 4, 0]	Thin upper lip vermilion
HP_0000220	[0, 6, 5, 9, 3, 0]	Velopharyngeal insufficiency
HP_0000221	[0, 2, 3, 0, 3, 0]	Furrowed tongue
HP_0000222	[0, 0, 7, 4, 2, 2, 1]	Gingival hyperkeratosis
HP_0000223	[0, 0, 5, 1, 0]	Abnormality of taste sensation
HP_0000224	[0, 0, 3, 5, 4, 0]	Hypogeusia
HP_0000225	[0, 2, 4, 3, 8, 0]	Gingival bleeding
HP_0000227	[0, 2, 1, 4, 2]	Tongue telangiectasia
HP_0000228	[0, 5, 0, 3, 0, 0]	Oral cavity telangiectasia
HP_0000230	[0, 2, 4, 6, 4, 1]	Gingivitis
HP_0000232	[0, 2, 3, 6, 6, 0]	Everted lower lip vermilion
HP_0000233	[0, 4, 3, 5, 8, 0]	Thin vermilion border
HP_0000234	[0, 4, 6, 6, 1, 0]	Abnormality of the head
HP_0000235	[0, 2, 7, 7, 0]	Abnormal cranial suture/fontanelle morphology
HP_0000236	[0, 2, 2, 5, 5, 0]	Abnormal anterior fontanelle morphology
HP_0000237	[0, 2, 2, 5, 0]	Small anterior fontanelle
HP_0000238	[0, 4, 9, 6, 0]	Hydrocephalus
HP_0000239	[0, 4, 1, 0, 5, 0]	Large fontanelles
HP_0000240	[0, 2, 0, 0, 1]	Abnormality of skull size
HP_0000242	[0, 2, 7, 7, 1]	Parietal bossing
HP_0000243	[0, 2, 0, 6, 7]	Trigonocephaly
HP_0000244	[0, 4, 7, 1, 1, 0]	Brachyturricephaly
HP_0000245	[0, 2, 0, 3, 5, 0]	Abnormal paranasal sinus morphology
HP_0000246	[0, 7, 7, 4, 3, 0]	Sinusitis
HP_0000248	[0, 4, 9, 3, 0]	Brachycephaly
HP_0000250	[0, 4, 6, 6, 5, 0]	Dense calvaria
HP_0000252	[0, 4, 9, 1, 0]	Microcephaly
HP_0000253	[0, 1, 1, 5, 0]	Progressive microcephaly
HP_0000255	[0, 6, 7, 1, 4, 0]	Acute sinusitis
HP_0000256	[0, 4, 4, 7, 2, 0]	Macrocephaly
HP_0000260	[0, 3, 0, 5, 0]	Wide anterior fontanel
HP_0000262	[0, 4, 9, 3, 1]	Turricephaly
HP_0000263	[0, 4, 9, 3, 2]	Oxycephaly
HP_0000264	[0, 2, 3, 0, 0, 0]	Abnormal mastoid morphology
HP_0000265	[0, 2, 3, 0, 0, 1]	Mastoiditis
HP_0000267	[0, 4, 9, 2, 0]	Cranial asymmetry
HP_0000268	[0, 4, 9, 3, 3]	Dolichocephaly
HP_0000269	[0, 2, 0, 0, 7, 0]	Prominent occiput
HP_0000270	[3, 5, 1, 5, 0]	Delayed cranial suture closure
HP_0000271	[0, 7, 4, 5, 4, 0]	Abnormality of the face
HP_0000272	[0, 2, 2, 7, 3, 0]	Malar flattening
HP_0000273	[0, 2, 2, 8, 6, 0]	Facial grimacing
HP_0000274	[0, 0, 5, 6, 0]	Small face
HP_0000275	[0, 0, 6, 8, 6, 0]	Narrow face
HP_0000276	[0, 5, 4, 0, 4, 0]	Long face
HP_0000277	[0, 2, 3, 5, 1, 0]	Abnormal mandible morphology
HP_0000278	[3, 2, 0, 7, 0]	Retrognathia
HP_0000280	[0, 0, 5, 6, 1]	Coarse facial features
HP_0000282	[0, 5, 4, 0, 0, 0]	Facial edema
HP_0000283	[0, 2, 0, 0, 6, 0]	Broad face
HP_0000286	[0, 2, 1, 5, 3, 0]	Epicanthus
HP_0000287	[3, 2, 2, 1, 0]	Increased facial adipose tissue
HP_0000288	[0, 2, 7, 8, 7, 0]	Abnormality of the philtrum
HP_0000289	[0, 2, 2, 7, 7, 0]	Broad philtrum
HP_0000290	[0, 2, 2, 1, 0, 0]	Abnormal forehead morphology
HP_0000291	[0, 3, 3, 2, 0]	Abnormality of facial adipose tissue
HP_0000292	[3, 5, 4, 3, 0]	Loss of facial adipose tissue
HP_0000293	[0, 2, 6, 3, 0]	Full cheeks
HP_0000294	[0, 5, 3, 5, 5, 1]	Low anterior hairline
HP_0000295	[3, 3, 3, 7, 0]	Doll-like facies
HP_0000297	[0, 0, 6, 8, 4, 0]	Facial hypotonia
HP_0000298	[0, 5, 0, 1, 0]	Mask-like facies
HP_0000300	[0, 5, 2, 5, 5, 0]	Oval face
HP_0000301	[0, 0, 6, 8, 5, 0]	Abnormality of facial musculature
HP_0000303	[0, 2, 2, 1, 2, 0]	Mandibular prognathia
HP_0000306	[0, 2, 0, 3, 4, 0]	Abnormality of the chin
HP_0000307	[0, 2, 2, 7, 1, 0]	Pointed chin
HP_0000308	[0, 2, 4, 7, 2, 0]	Microretrognathia
HP_0000309	[0, 2, 7, 1, 2, 0]	Abnormal midface morphology
HP_0000311	[0, 2, 0, 7, 4, 0]	Round face
HP_0000315	[0, 2, 7, 3, 6, 0]	Abnormality of the orbital region
HP_0000316	[0, 1, 4, 6, 0]	Hypertelorism
HP_0000317	[0, 0, 6, 8, 7, 0]	Facial myokymia
HP_0000319	[0, 2, 2, 7, 7, 1]	Smooth philtrum
HP_0000320	[3, 3, 3, 2, 0]	Bird-like facies
HP_0000321	[3, 4, 0, 1, 7]	Square face
HP_0000322	[0, 2, 1, 1, 1]	Short philtrum
HP_0000324	[1, 2, 2, 1, 0]	Facial asymmetry
HP_0000325	[0, 6, 6, 6, 3, 0]	Triangular face
HP_0000326	[0, 2, 7, 1, 0, 0]	Abnormal maxilla morphology
HP_0000327	[0, 2, 3, 6, 0, 1]	Hypoplasia of the maxilla
HP_0000329	[0, 7, 4, 5, 4, 1]	Facial hemangioma
HP_0000331	[0, 2, 2, 7, 5, 0]	Short chin
HP_0000336	[0, 2, 0, 7, 6, 0]	Prominent supraorbital ridges
HP_0000337	[0, 2, 0, 0, 6, 1]	Broad forehead
HP_0000338	[0, 0, 7, 8, 1, 6, 0]	Hypomimic face
HP_0000339	[0, 0, 7, 8, 1, 0]	Pugilistic facies
HP_0000340	[0, 2, 6, 0, 0]	Sloping forehead
HP_0000341	[0, 2, 0, 1, 0]	Narrow forehead
HP_0000343	[0, 2, 2, 7, 4, 0]	Long philtrum
HP_0000346	[0, 0, 7, 8, 1, 4, 0]	Whistling appearance
HP_0000347	[0, 2, 2, 2, 4, 1]	Micrognathia
HP_0000348	[0, 2, 0, 4, 7, 0]	High forehead
HP_0000349	[3, 3, 3, 6, 0]	Widow's peak
HP_0000350	[0, 2, 0, 7, 1, 0]	Small forehead
HP_0000356	[0, 4, 4, 1, 1, 0]	Abnormality of the outer ear
HP_0000357	[0, 2, 7, 1, 1, 0]	Abnormal location of ears
HP_0000358	[3, 4, 0, 0, 4, 0]	Posteriorly rotated ears
HP_0000359	[0, 4, 0, 5, 2, 0]	Abnormality of the inner ear
HP_0000360	[0, 4, 0, 0, 2, 0]	Tinnitus
HP_0000362	[0, 4, 0, 7, 5, 0]	Otosclerosis
HP_0000363	[0, 2, 7, 1, 1, 1]	Abnormal earlobe morphology
HP_0000364	[0, 0, 9, 7, 6, 0]	Hearing abnormality
HP_0000365	[0, 0, 3, 5, 4, 1]	Hearing impairment
HP_0000366	[0, 2, 0, 3, 3, 0]	Abnormality of the nose
HP_0000369	[0, 4, 0, 2, 4]	Low-set ears
HP_0000370	[0, 4, 0, 5, 6, 0]	Abnormality of the middle ear
HP_0000371	[0, 7, 7, 4, 1, 0]	Acute otitis media
HP_0000372	[0, 4, 0, 1, 3]	Abnormal auditory canal morphology
HP_0000375	[0, 4, 0, 2, 3, 0]	Abnormal cochlea morphology
HP_0000376	[0, 0, 3, 2, 0]	Incomplete partition of the cochlea type II
HP_0000377	[0, 4, 0, 1, 5, 0]	Abnormal pinna morphology
HP_0000378	[0, 4, 0, 7, 0, 0]	Cupped ear
HP_0000381	[0, 4, 0, 7, 5, 1]	Stapes ankylosis
HP_0000383	[0, 4, 0, 1, 4, 0]	Abnormal periauricular region morphology
HP_0000384	[0, 0, 6, 3, 0, 0]	Preauricular skin tag
HP_0000385	[0, 2, 7, 1, 5, 0]	Small earlobe
HP_0000387	[0, 2, 7, 6, 7, 0]	Absent earlobe
HP_0000388	[0, 4, 0, 5, 8, 0]	Otitis media
HP_0000389	[0, 8, 0, 4, 0]	Chronic otitis media
HP_0000391	[1, 7, 5, 0, 0]	Thickened helices
HP_0000394	[0, 4, 0, 0, 8]	Lop ear
HP_0000395	[3, 4, 1, 4, 0, 0]	Prominent antihelix
HP_0000396	[0, 6, 1, 7, 0]	Overfolded helix
HP_0000399	[0, 0, 3, 7, 7, 0]	Prelingual sensorineural hearing impairment
HP_0000400	[0, 0, 5, 2, 1]	Macrotia
HP_0000402	[0, 4, 0, 1, 1, 0]	Stenosis of the external auditory canal
HP_0000403	[0, 0, 9, 8, 5]	Recurrent otitis media
HP_0000405	[0, 0, 3, 1, 6, 0]	Conductive hearing impairment
HP_0000407	[0, 0, 3, 1, 7, 0]	Sensorineural hearing impairment
HP_0000408	[0, 0, 2, 7, 2, 0]	Progressive sensorineural hearing impairment
HP_0000410	[0, 0, 3, 2, 1]	Mixed hearing impairment
HP_0000411	[0, 5, 6, 7, 2, 0]	Protruding ear
HP_0000413	[0, 4, 0, 6, 1, 0]	Atresia of the external auditory canal
HP_0000414	[0, 7, 0, 5, 7, 0]	Bulbous nose
HP_0000415	[0, 2, 3, 5, 7, 0]	Abnormal choanae morphology
HP_0000417	[0, 7, 0, 5, 6, 0]	Slender nose
HP_0000418	[0, 2, 2, 0, 4, 0]	Narrow nasal ridge
HP_0000419	[0, 2, 5, 6, 8]	Abnormal nasal septum morphology
HP_0000420	[0, 2, 5, 6, 3]	Short nasal septum
HP_0000421	[0, 6, 1, 7, 1]	Epistaxis
HP_0000422	[0, 2, 5, 6, 7, 0]	Abnormal nasal bridge morphology
HP_0000426	[0, 2, 0, 3, 8, 0]	Prominent nasal bridge
HP_0000429	[0, 2, 0, 3, 3, 1]	Abnormal morphology of the nasal alae
HP_0000430	[0, 2, 5, 0, 0]	Underdeveloped nasal alae
HP_0000431	[0, 2, 2, 0, 2, 0]	Wide nasal bridge
HP_0000433	[0, 6, 1, 5, 0]	Abnormal nasal mucosa morphology
HP_0000434	[0, 5, 8, 7, 7, 0]	Nasal mucosa telangiectasia
HP_0000436	[0, 2, 5, 6, 6, 0]	Abnormal nasal tip morphology
HP_0000437	[0, 2, 2, 6, 0, 0]	Depressed nasal tip
HP_0000444	[0, 2, 0, 4, 4, 0]	Convex nasal ridge
HP_0000445	[0, 2, 2, 2, 2, 1]	Wide nose
HP_0000446	[0, 2, 2, 0, 2, 1]	Narrow nasal bridge
HP_0000447	[0, 2, 2, 3, 0, 0]	Pear-shaped nose
HP_0000448	[0, 2, 0, 4, 4, 1]	Prominent nose
HP_0000451	[0, 2, 2, 3, 0, 1]	Triangular nasal tip
HP_0000452	[0, 2, 3, 7, 2, 0]	Choanal stenosis
HP_0000453	[0, 2, 3, 7, 8, 0]	Choanal atresia
HP_0000454	[0, 2, 0, 4, 7, 1]	Flared nostrils
HP_0000455	[0, 2, 2, 6, 1, 0]	Broad nasal tip
HP_0000456	[0, 2, 2, 6, 2, 0]	Bifid nasal tip
HP_0000457	[0, 2, 3, 7, 9, 0]	Depressed nasal ridge
HP_0000458	[0, 0, 8, 8, 5, 0]	Anosmia
HP_0000460	[0, 2, 2, 6, 0, 1]	Narrow nose
HP_0000463	[0, 2, 3, 5, 2, 0]	Anteverted nares
HP_0000464	[0, 2, 1, 6, 4, 0]	Abnormality of the neck
HP_0000465	[3, 3, 2, 0, 0]	Webbed neck
HP_0000466	[0, 0, 8, 7, 6, 0]	Limited neck range of motion
HP_0000467	[0, 3, 6, 6, 7, 0]	Neck muscle weakness
HP_0000468	[0, 5, 0, 2, 0]	Increased adipose tissue around the neck
HP_0000470	[0, 2, 2, 7, 5, 1]	Short neck
HP_0000471	[0, 7, 7, 8, 8, 0]	Gastrointestinal angiodysplasia
HP_0000472	[0, 0, 1, 0, 7, 0]	Long neck
HP_0000473	[0, 0, 1, 0, 0, 0]	Torticollis
HP_0000474	[0, 5, 3, 2, 6]	Thickened nuchal skin fold
HP_0000475	[3, 4, 0, 4, 0]	Broad neck
HP_0000476	[0, 4, 1, 6, 7, 0]	Cystic hygroma
HP_0000478	[0, 2, 7, 3, 8, 0]	Abnormality of the eye
HP_0000479	[0, 1, 0, 1, 0]	Abnormal retinal morphology
HP_0000480	[0, 1, 7, 1, 4, 0]	Retinal coloboma
HP_0000481	[0, 1, 8, 0, 0]	Abnormal cornea morphology
HP_0000482	[0, 9, 1, 1, 0]	Microcornea
HP_0000483	[0, 1, 6, 8, 0]	Astigmatism
HP_0000484	[3, 8, 8, 7, 0]	Hyperopic astigmatism
HP_0000485	[1, 7, 5, 7, 5, 0]	Megalocornea
HP_0000486	[0, 1, 2, 7, 0, 0]	Strabismus
HP_0000488	[0, 1, 7, 2, 7, 0]	Retinopathy
HP_0000490	[0, 1, 4, 6, 1]	Deeply set eye
HP_0000491	[0, 1, 8, 9, 0]	Keratitis
HP_0000492	[0, 1, 1, 2, 0]	Abnormal eyelid morphology
HP_0000493	[0, 1, 9, 5, 0]	Abnormal foveal morphology
HP_0000494	[0, 1, 9, 1, 4, 0]	Downslanted palpebral fissures
HP_0000495	[0, 8, 0, 2, 0]	Recurrent corneal erosions
HP_0000496	[0, 0, 7, 7, 7, 0]	Abnormality of eye movement
HP_0000497	[0, 1, 2, 7, 4, 0]	Globe retraction and deviation on abduction
HP_0000498	[0, 5, 2, 3, 2, 0]	Blepharitis
HP_0000499	[0, 9, 2, 0, 0]	Abnormal eyelash morphology
HP_0000501	[0, 1, 9, 4, 1, 0]	Glaucoma
HP_0000502	[0, 1, 8, 1, 5]	Abnormal conjunctiva morphology
HP_0000503	[0, 1, 4, 8, 0]	Tortuosity of conjunctival vessels
HP_0000504	[0, 1, 6, 8, 1]	Abnormality of vision
HP_0000505	[0, 1, 6, 2, 6, 0]	Visual impairment
HP_0000506	[3, 3, 3, 0, 0]	Telecanthus
HP_0000508	[0, 1, 3, 4, 0]	Ptosis
HP_0000509	[0, 1, 8, 9, 1]	Conjunctivitis
HP_0000510	[0, 1, 0, 0, 5, 0]	Rod-cone dystrophy
HP_0000511	[0, 1, 1, 0, 2, 0]	Vertical supranuclear gaze palsy
HP_0000512	[0, 8, 2, 4, 0]	Abnormal electroretinogram
HP_0000514	[0, 1, 2, 5, 0]	Slow saccadic eye movements
HP_0000517	[0, 1, 1, 8, 0]	Abnormal lens morphology
HP_0000518	[0, 1, 9, 2, 4, 0]	Cataract
HP_0000519	[0, 1, 9, 4, 4, 0]	Developmental cataract
HP_0000520	[0, 1, 2, 3, 0]	Proptosis
HP_0000522	[0, 0, 8, 4, 0]	Alacrima
HP_0000523	[0, 1, 8, 6, 0]	Subcapsular cataract
HP_0000524	[0, 1, 7, 7, 0]	Conjunctival telangiectasia
HP_0000525	[0, 1, 5, 5, 6, 0]	Abnormality iris morphology
HP_0000526	[0, 1, 5, 4, 0]	Aniridia
HP_0000527	[3, 8, 5, 8, 0]	Long eyelashes
HP_0000528	[0, 1, 2, 9, 2]	Anophthalmia
HP_0000529	[0, 1, 6, 6, 0]	Progressive visual loss
HP_0000531	[0, 4, 4, 2, 4, 0]	Corneal crystals
HP_0000532	[0, 1, 0, 2, 6, 0]	Abnormal chorioretinal morphology
