concept_id	search_id	label
GO_0000082	[6, 1, 8, 0, 1, 1]	G1/S transition of mitotic cell cycle
GO_0000084	[6, 1, 8, 0, 7, 0]	mitotic S phase
GO_0000085	[0, 6, 7, 3, 0]	mitotic G2 phase
GO_0000086	[6, 1, 8, 2, 3, 0]	G2/M transition of mitotic cell cycle
GO_0000087	[6, 1, 8, 3, 4, 0]	mitotic M phase
GO_0000088	[6, 1, 8, 3, 8]	mitotic prophase
GO_0000089	[6, 1, 8, 6, 7, 0]	mitotic metaphase
GO_0000090	[6, 1, 8, 6, 1]	mitotic anaphase
GO_0000091	[6, 1, 8, 6, 5]	mitotic anaphase A
GO_0000092	[6, 1, 8, 6, 7, 1]	mitotic anaphase B
GO_0000093	[6, 1, 8, 3, 2, 0]	mitotic telophase
GO_0000096	[3, 2, 4, 4, 7, 0]	sulfur amino acid metabolic process
GO_0000097	[3, 1, 1, 1, 0]	sulfur amino acid biosynthetic process
GO_0000098	[1, 0, 6, 1, 2, 0]	sulfur amino acid catabolic process
GO_0000101	[3, 1, 1, 1, 1]	sulfur amino acid transport
GO_0000103	[3, 3, 2, 1, 0]	sulfate assimilation
GO_0000105	[3, 7, 7, 0, 0]	L-histidine biosynthetic process
GO_0000122	[6, 3, 6, 5, 2, 0]	negative regulation of transcription by RNA polymerase II
GO_0000128	[4, 7, 7, 0, 0]	flocculation
GO_0000132	[6, 2, 3, 1, 0]	establishment of mitotic spindle orientation
GO_0000147	[6, 2, 3, 0, 0]	actin cortical patch assembly
GO_0000154	[6, 3, 6, 3, 7, 0]	rRNA modification
GO_0000160	[7, 7, 2, 6, 5, 0]	phosphorelay signal transduction system
GO_0000162	[3, 1, 4, 9, 0]	L-tryptophan biosynthetic process
GO_0000165	[7, 7, 1, 9, 4, 0]	MAPK cascade
GO_0000183	[6, 7, 7, 8, 0]	rDNA heterochromatin formation
GO_0000184	[6, 3, 1, 6, 0]	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO_0000196	[7, 7, 2, 4, 5, 0]	cell integrity MAPK cascade
GO_0000209	[5, 0, 2, 2, 0]	protein polyubiquitination
GO_0000212	[6, 1, 0, 5, 0]	meiotic spindle organization
GO_0000226	[6, 1, 1, 2, 0]	microtubule cytoskeleton organization
GO_0000236	[6, 1, 8, 3, 4, 1]	mitotic prometaphase
GO_0000237	[1, 0, 6, 5, 1, 0]	leptotene
GO_0000238	[1, 1, 3, 7, 3, 0]	zygotene
GO_0000239	[1, 1, 3, 7, 3, 1]	pachytene
GO_0000240	[1, 0, 3, 0, 7, 0]	diplotene
GO_0000241	[1, 0, 3, 0, 7, 1]	diakinesis
GO_0000244	[6, 0, 2, 7, 4, 0]	spliceosomal tri-snRNP complex assembly
GO_0000245	[6, 0, 3, 7, 0]	spliceosomal complex assembly
GO_0000255	[3, 2, 0, 4, 7, 0]	allantoin metabolic process
GO_0000256	[3, 2, 0, 5, 2, 0]	allantoin catabolic process
GO_0000266	[6, 8, 8, 1, 0]	mitochondrial fission
GO_0000270	[3, 4, 9, 6, 0]	peptidoglycan metabolic process
GO_0000271	[3, 0, 4, 3, 4, 0]	polysaccharide biosynthetic process
GO_0000272	[3, 0, 6, 1, 4, 0]	polysaccharide catabolic process
GO_0000278	[1, 0, 6, 0, 6, 0]	mitotic cell cycle
GO_0000279	[6, 1, 8, 0, 3, 0]	M phase
GO_0000280	[6, 8, 2, 0, 0]	nuclear division
GO_0000281	[1, 4, 7, 4, 5, 0]	mitotic cytokinesis
GO_0000282	[1, 4, 2, 2, 7, 0]	cellular bud site selection
GO_0000288	[6, 3, 1, 6, 1]	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO_0000289	[6, 5, 6, 1, 0]	nuclear-transcribed mRNA poly(A) tail shortening
GO_0000290	[6, 3, 1, 6, 2]	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO_0000292	[6, 3, 2, 4, 0]	RNA fragment catabolic process
GO_0000294	[6, 3, 1, 7, 0]	nuclear-transcribed mRNA catabolic process, RNase MRP-dependent
GO_0000296	[3, 2, 7, 4, 0]	spermine transport
GO_0000301	[6, 8, 7, 3, 0, 0]	retrograde transport, vesicle recycling within Golgi
GO_0000302	[0, 0, 3, 5, 0]	response to reactive oxygen species
GO_0000303	[0, 9, 6, 6, 0]	response to superoxide
GO_0000304	[0, 0, 3, 5, 1]	response to singlet oxygen
GO_0000305	[0, 9, 6, 8, 0]	response to oxygen radical
GO_0000316	[3, 3, 6, 4, 7, 0]	sulfite transmembrane transport
GO_0000320	[1, 0, 7, 7, 0]	re-entry into mitotic cell cycle
GO_0000321	[1, 0, 7, 7, 1]	re-entry into mitotic cell cycle after pheromone arrest
GO_0000338	[5, 3, 2, 3, 0]	protein deneddylation
GO_0000348	[6, 3, 0, 0, 6, 0]	mRNA branch site recognition
GO_0000349	[6, 3, 0, 3, 0, 0]	generation of catalytic spliceosome for first transesterification step
GO_0000350	[6, 3, 0, 3, 2, 0]	generation of catalytic spliceosome for second transesterification step
GO_0000352	[6, 3, 0, 0, 1, 0]	trans assembly of SL-containing precatalytic spliceosome
GO_0000353	[6, 0, 2, 7, 4, 1]	formation of quadruple SL/U4/U5/U6 snRNP
GO_0000354	[6, 0, 2, 7, 1]	cis assembly of pre-catalytic spliceosome
GO_0000365	[6, 3, 0, 3, 2, 1]	mRNA trans splicing, via spliceosome
GO_0000366	[6, 3, 3, 6, 0]	mRNA alternative trans-splicing
GO_0000372	[6, 3, 0, 1, 0]	Group I intron splicing
GO_0000373	[5, 4, 3, 0]	Group II intron splicing
GO_0000374	[6, 3, 0, 1, 1]	Group III intron splicing
GO_0000375	[6, 3, 0, 0, 0, 0]	RNA splicing, via transesterification reactions
GO_0000376	[6, 3, 0, 0, 0, 1]	RNA splicing, via transesterification reactions with guanosine as nucleophile
GO_0000377	[6, 3, 0, 0, 5]	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO_0000378	[6, 3, 0, 6, 3]	RNA exon ligation
GO_0000379	[6, 7, 3, 5, 0]	tRNA-type intron splice site recognition and cleavage
GO_0000380	[6, 3, 6, 0, 0]	alternative mRNA splicing, via spliceosome
GO_0000381	[6, 3, 2, 2, 0]	regulation of alternative mRNA splicing, via spliceosome
GO_0000387	[6, 3, 6, 0, 1]	spliceosomal snRNP assembly
GO_0000388	[6, 0, 2, 7, 0, 0]	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO_0000389	[6, 3, 3, 6, 1]	mRNA 3'-splice site recognition
GO_0000390	[6, 3, 0, 3, 1, 0]	spliceosomal complex disassembly
GO_0000393	[6, 3, 0, 3, 0, 1]	spliceosomal conformational changes to generate catalytic conformation
GO_0000394	[6, 3, 0, 0, 4]	RNA splicing, via endonucleolytic cleavage and ligation
GO_0000395	[1, 0, 4, 1, 0]	mRNA 5'-splice site recognition
GO_0000398	[6, 5, 4, 6, 0]	mRNA splicing, via spliceosome
GO_0000409	[3, 0, 3, 3, 5, 0]	regulation of transcription by galactose
GO_0000410	[3, 0, 3, 3, 5, 1]	carbon catabolite repression of transcription by galactose
GO_0000411	[3, 0, 3, 6, 0, 0]	positive regulation of transcription by galactose
GO_0000413	[3, 3, 3, 6, 0]	protein peptidyl-prolyl isomerization
GO_0000422	[6, 8, 7, 5, 0]	autophagy of mitochondrion
GO_0000423	[6, 3, 7, 7, 3, 0]	mitophagy
GO_0000424	[1, 0, 2, 7, 0, 0]	micromitophagy
GO_0000425	[6, 8, 2, 9, 0]	pexophagy
GO_0000426	[6, 8, 2, 9, 1]	micropexophagy
GO_0000429	[6, 5, 2, 6, 0]	carbon catabolite regulation of transcription from RNA polymerase II promoter
GO_0000430	[6, 5, 2, 6, 1]	regulation of transcription from RNA polymerase II promoter by glucose
GO_0000431	[6, 5, 2, 5, 0]	regulation of transcription from RNA polymerase II promoter by galactose
GO_0000432	[6, 5, 2, 0, 0]	positive regulation of transcription from RNA polymerase II promoter by glucose
GO_0000433	[6, 5, 2, 4, 0]	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
GO_0000434	[6, 5, 2, 5, 1]	carbon catabolite repression of transcription from RNA polymerase II promoter by galactose
GO_0000435	[6, 5, 2, 0, 1]	positive regulation of transcription from RNA polymerase II promoter by galactose
GO_0000436	[6, 5, 2, 0, 2]	carbon catabolite activation of transcription from RNA polymerase II promoter
GO_0000437	[6, 5, 2, 4, 1]	carbon catabolite repression of transcription from RNA polymerase II promoter
GO_0000447	[6, 3, 8, 0, 0]	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000448	[6, 3, 8, 3, 0]	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000449	[6, 3, 8, 0, 1]	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO_0000450	[6, 3, 8, 1, 0]	cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)
GO_0000451	[6, 3, 8, 2, 0]	rRNA 2'-O-methylation
GO_0000452	[6, 3, 6, 8, 2, 0]	snoRNA guided rRNA 2'-O-methylation
GO_0000454	[6, 3, 6, 8, 4]	snoRNA guided rRNA pseudouridine synthesis
GO_0000455	[6, 3, 6, 3, 4, 0]	enzyme-directed rRNA pseudouridine synthesis
GO_0000457	[6, 3, 8, 3, 1]	endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO_0000458	[6, 3, 8, 3, 2]	endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO_0000460	[6, 3, 8, 8, 0]	maturation of 5.8S rRNA
GO_0000461	[6, 3, 8, 7, 0]	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000462	[6, 3, 8, 2, 1]	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000463	[6, 3, 8, 1, 1]	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000464	[6, 3, 8, 5, 0]	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000465	[6, 3, 8, 8, 1]	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000466	[6, 3, 8, 8, 2]	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000467	[6, 3, 8, 5, 1]	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000468	[6, 3, 8, 7, 1]	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000470	[6, 3, 8, 1, 2]	maturation of LSU-rRNA
GO_0000471	[6, 3, 8, 7, 2]	endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000472	[6, 3, 8, 3, 3]	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000473	[6, 3, 8, 1, 3]	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000474	[6, 3, 8, 2, 2]	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000475	[6, 3, 8, 2, 3]	maturation of 2S rRNA
GO_0000476	[6, 3, 8, 8, 3]	maturation of 4.5S rRNA
GO_0000477	[6, 3, 8, 5, 2]	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000479	[6, 3, 8, 0, 2]	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000480	[6, 3, 8, 5, 3]	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000481	[6, 3, 8, 9, 0]	maturation of 5S rRNA
GO_0000482	[6, 3, 8, 9, 1]	maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000483	[6, 3, 8, 0, 3]	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000484	[6, 3, 8, 3, 4]	cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000485	[6, 3, 8, 1, 4]	cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000486	[6, 3, 8, 4, 0]	cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000487	[6, 3, 8, 4, 1]	maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000488	[6, 3, 8, 1, 5]	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO_0000489	[6, 3, 8, 8, 4]	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO_0000491	[6, 3, 0, 4, 0]	small nucleolar ribonucleoprotein complex assembly
GO_0000492	[6, 3, 0, 7, 0]	box C/D snoRNP assembly
GO_0000493	[6, 3, 0, 7, 1]	box H/ACA snoRNP assembly
GO_0000494	[6, 3, 6, 7, 0]	box C/D sno(s)RNA 3'-end processing
GO_0000495	[6, 3, 6, 7, 1]	box H/ACA sno(s)RNA 3'-end processing
GO_0000512	[6, 3, 3, 3, 0]	lncRNA-mediated post-transcriptional gene silencing
GO_0000578	[1, 4, 2, 8, 4, 0]	embryonic axis specification
GO_0000705	[6, 1, 8, 6, 6, 0]	achiasmate meiosis I
GO_0000706	[6, 7, 0, 0, 0, 0]	meiotic DNA double-strand break processing
GO_0000707	[6, 0, 3, 8, 0]	meiotic DNA recombinase assembly
GO_0000708	[6, 7, 6, 2, 0]	meiotic strand invasion
GO_0000709	[6, 3, 5, 7, 0]	meiotic joint molecule formation
GO_0000710	[6, 7, 0, 7, 0]	meiotic mismatch repair
GO_0000711	[6, 7, 0, 7, 1]	meiotic DNA repair synthesis
GO_0000712	[6, 7, 0, 0, 7]	resolution of meiotic recombination intermediates
GO_0000713	[6, 7, 0, 1, 0]	meiotic heteroduplex formation
GO_0000714	[6, 7, 6, 3, 5, 0]	meiotic strand displacement
GO_0000715	[6, 7, 1, 9, 7]	nucleotide-excision repair, DNA damage recognition
GO_0000716	[6, 7, 1, 9, 1, 0]	transcription-coupled nucleotide-excision repair, DNA damage recognition
GO_0000719	[6, 7, 2, 7, 0]	photoreactive repair
GO_0000720	[3, 3, 8, 8, 0, 0]	pyrimidine dimer repair by nucleotide-excision repair
GO_0000722	[6, 1, 1, 7, 0]	telomere maintenance via recombination
GO_0000723	[6, 1, 1, 1, 8, 0]	telomere maintenance
GO_0000724	[6, 7, 0, 7, 2]	double-strand break repair via homologous recombination
GO_0000725	[6, 7, 6, 7, 6, 0]	recombinational repair
GO_0000727	[6, 7, 0, 5, 1]	double-strand break repair via break-induced replication
GO_0000729	[6, 7, 0, 0, 5, 0]	DNA double-strand break processing
GO_0000730	[6, 0, 3, 8, 1]	DNA recombinase assembly
GO_0000731	[6, 7, 1, 7, 4, 0]	DNA synthesis involved in DNA repair
GO_0000732	[6, 7, 6, 3, 6]	DNA strand displacement
GO_0000735	[6, 3, 1, 5, 0]	removal of nonhomologous ends
GO_0000736	[6, 7, 0, 2, 0]	double-strand break repair via single-strand annealing, removal of nonhomologous ends
GO_0000740	[6, 8, 4, 0, 5, 0]	nuclear membrane fusion
GO_0000741	[6, 8, 2, 0, 1]	karyogamy
GO_0000742	[6, 8, 4, 0, 0, 0]	karyogamy involved in conjugation with cellular fusion
GO_0000743	[6, 8, 4, 0, 3]	nuclear migration involved in conjugation with cellular fusion
GO_0000744	[1, 1, 7, 6, 4, 0]	karyogamy involved in conjugation with mutual genetic exchange
GO_0000745	[1, 4, 7, 5, 5, 0]	nuclear migration involved in conjugation with mutual genetic exchange
GO_0000747	[6, 8, 3, 6, 0]	conjugation with cellular fusion
GO_0000748	[1, 1, 7, 6, 4, 1]	conjugation with mutual genetic exchange
GO_0000749	[0, 2, 8, 1, 0]	response to pheromone triggering conjugation with cellular fusion
GO_0000750	[5, 5, 3, 0]	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO_0000751	[5, 5, 6, 1, 0]	mitotic cell cycle G1 arrest in response to pheromone
GO_0000752	[4, 7, 5, 8, 0]	agglutination involved in conjugation with cellular fusion
GO_0000753	[6, 8, 3, 6, 1]	cell morphogenesis involved in conjugation with cellular fusion
GO_0000754	[7, 7, 6, 7, 7, 0]	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO_0000755	[1, 1, 8, 1, 3, 0]	cytogamy
GO_0000756	[1, 0, 4, 8, 0]	response to pheromone regulating conjugation with mutual genetic exchange
GO_0000758	[1, 1, 7, 6, 4, 2]	agglutination involved in conjugation with mutual genetic exchange
GO_0000760	[1, 0, 2, 9, 0]	adaptation to pheromone regulating conjugation with mutual genetic exchange
GO_0000761	[1, 1, 7, 6, 5, 0]	conjugant formation
GO_0000762	[5, 5, 1, 5]	pheromone-induced unidirectional conjugation
GO_0000765	[5, 5, 6, 2, 0]	response to pheromone regulating pheromone-induced unidirectional conjugation
GO_0000766	[5, 5, 6, 0]	negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation
GO_0000768	[1, 1, 6, 8, 1, 0]	syncytium formation by plasma membrane fusion
GO_0000769	[1, 4, 7, 4, 2, 0]	syncytium formation by mitosis without cytokinesis
GO_0000770	[3, 2, 3, 6, 0, 0]	peptide pheromone export
GO_0000819	[1, 0, 5, 8, 1, 0]	sister chromatid segregation
GO_0000820	[3, 7, 3, 2, 0]	regulation of glutamine family amino acid metabolic process
GO_0000821	[3, 5, 4, 2, 0]	regulation of arginine metabolic process
GO_0000902	[1, 4, 1, 5, 3, 0]	cell morphogenesis
GO_0000905	[1, 1, 5, 4, 5, 0]	sporocarp development involved in asexual reproduction
GO_0000909	[1, 4, 4, 0, 3, 0]	sporocarp development involved in sexual reproduction
GO_0000910	[1, 4, 7, 4, 1, 0]	cytokinesis
GO_0000911	[1, 4, 7, 4, 6, 0]	cytokinesis by cell plate formation
GO_0000912	[1, 4, 7, 4, 6, 1]	assembly of actomyosin apparatus involved in cytokinesis
GO_0000913	[1, 2, 5, 3, 0]	preprophase band assembly
GO_0000914	[6, 2, 3, 4, 4, 0]	phragmoplast assembly
GO_0000915	[6, 4, 5, 3, 0]	actomyosin contractile ring assembly
GO_0000916	[7, 1, 1, 2, 0]	actomyosin contractile ring contraction
GO_0000917	[1, 1, 4, 0, 0]	division septum assembly
GO_0000918	[1, 1, 4, 9, 0]	division septum site selection
GO_0000919	[6, 6, 5, 6, 0]	cell plate assembly
GO_0000920	[1, 4, 7, 4, 3, 0]	septum digestion after cytokinesis
GO_0000921	[1, 1, 4, 9, 1]	septin ring assembly
GO_0000947	[3, 7, 7, 5, 0]	amino acid catabolic process to alcohol via Ehrlich pathway
GO_0000948	[3, 7, 6, 4, 0]	amino acid catabolic process to carboxylic acid via Ehrlich pathway
GO_0000949	[3, 8, 8, 6, 0]	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
GO_0000950	[3, 7, 7, 5, 1]	branched-chain amino acid catabolic process to alcohol via Ehrlich pathway
GO_0000951	[3, 7, 8, 1, 0]	methionine catabolic process to 3-methylthiopropanol
GO_0000952	[3, 2, 2, 1, 6]	aromatic amino acid family catabolic process to carboxylic acid via Ehrlich pathway
GO_0000953	[3, 7, 6, 0, 0]	branched-chain amino acid catabolic process to carboxylic acid via Ehrlich pathway
GO_0000954	[3, 7, 8, 3, 0]	methionine catabolic process to 3-methylthiopropanoate
GO_0000955	[3, 7, 1, 6, 3]	amino acid catabolic process via Ehrlich pathway
GO_0000956	[6, 3, 1, 1, 0]	nuclear-transcribed mRNA catabolic process
GO_0000957	[6, 3, 7, 2, 1, 0]	mitochondrial RNA catabolic process
GO_0000958	[6, 3, 1, 1, 1]	mitochondrial mRNA catabolic process
GO_0000959	[6, 3, 7, 8, 3, 0]	mitochondrial RNA metabolic process
GO_0000960	[6, 3, 7, 8, 3, 1]	regulation of mitochondrial RNA catabolic process
GO_0000961	[6, 5, 5, 4, 0]	negative regulation of mitochondrial RNA catabolic process
GO_0000962	[6, 3, 9, 2, 0]	positive regulation of mitochondrial RNA catabolic process
GO_0000963	[6, 3, 2, 6, 0]	mitochondrial RNA processing
GO_0000964	[6, 3, 8, 6, 0]	mitochondrial RNA 5'-end processing
GO_0000965	[6, 3, 2, 6, 1]	mitochondrial RNA 3'-end processing
GO_0000966	[6, 3, 6, 3, 1, 0]	RNA 5'-end processing
GO_0000967	[6, 3, 6, 3, 4, 1]	rRNA 5'-end processing
GO_0000968	[6, 3, 4, 3, 0]	tRNA exon ligation
GO_0000972	[6, 1, 1, 6, 0]	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO_0000973	[6, 5, 8, 6, 0]	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO_0001014	[6, 3, 6, 7, 2]	snoRNA transcription by RNA polymerase III
GO_0001015	[6, 3, 6, 8, 2, 1]	snoRNA transcription by RNA polymerase II
GO_0001059	[6, 3, 6, 4, 2]	transcription by RNA polymerase IV
GO_0001060	[6, 3, 6, 2, 1, 0]	transcription by RNA polymerase V
GO_0001079	[3, 1, 3, 6, 3, 0]	nitrogen catabolite regulation of transcription from RNA polymerase II promoter
GO_0001080	[6, 5, 0, 5, 0]	nitrogen catabolite activation of transcription from RNA polymerase II promoter
GO_0001081	[6, 5, 2, 2, 0]	nitrogen catabolite repression of transcription from RNA polymerase II promoter
GO_0001100	[6, 1, 6, 4, 0]	negative regulation of exit from mitosis
GO_0001101	[0, 9, 4, 2, 0]	response to acid chemical
GO_0001109	[6, 5, 8, 6, 1]	promoter clearance during DNA-templated transcription
GO_0001110	[6, 5, 8, 8, 0]	RNA polymerase III promoter clearance
GO_0001111	[6, 5, 8, 2, 0]	RNA polymerase II promoter clearance
GO_0001112	[6, 7, 4, 1, 2]	DNA-templated transcription open complex formation
GO_0001113	[6, 7, 4, 1, 1, 0]	transcription open complex formation at RNA polymerase II promoter
GO_0001115	[6, 7, 4, 2, 0]	protein-DNA-RNA complex organization
GO_0001116	[6, 7, 4, 2, 1]	protein-DNA-RNA complex assembly
GO_0001117	[6, 3, 0, 3, 5, 0]	protein-DNA-RNA complex disassembly
GO_0001118	[6, 5, 8, 1, 0]	transcription ternary complex disassembly
GO_0001119	[6, 7, 4, 2, 2]	protein-DNA-RNA complex remodeling
GO_0001120	[6, 7, 4, 2, 3]	protein-DNA complex remodeling
GO_0001171	[6, 3, 6, 6, 0]	reverse transcription
GO_0001172	[6, 3, 3, 3, 1]	RNA-templated transcription
GO_0001173	[6, 7, 4, 3, 0]	DNA-templated transcriptional start site selection
GO_0001174	[6, 3, 6, 2, 3, 0]	transcriptional start site selection at RNA polymerase II promoter
GO_0001175	[6, 3, 6, 2, 6]	transcriptional start site selection at RNA polymerase III promoter
GO_0001177	[6, 5, 8, 7, 0]	regulation of transcription open complex formation at RNA polymerase II promoter
GO_0001178	[6, 5, 8, 7, 1]	regulation of transcriptional start site selection at RNA polymerase II promoter
GO_0001182	[6, 5, 8, 8, 1]	RNA polymerase I promoter clearance
GO_0001188	[6, 7, 4, 1, 5, 0]	RNA polymerase I preinitiation complex assembly
GO_0001192	[6, 5, 6, 6, 0]	maintenance of transcriptional fidelity during transcription elongation
GO_0001193	[6, 5, 6, 6, 1]	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
GO_0001195	[6, 5, 6, 6, 2]	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase III
GO_0001325	[6, 7, 4, 7, 4]	formation of extrachromosomal circular DNA
GO_0001326	[6, 7, 8, 3, 0]	replication of extrachromosomal circular DNA
GO_0001402	[1, 1, 6, 1, 4, 0]	signal transduction involved in filamentous growth
GO_0001403	[7, 4, 2, 3, 0]	invasive growth in response to glucose limitation
GO_0001407	[3, 3, 0, 5, 4, 0]	glycerophosphodiester transmembrane transport
GO_0001408	[3, 3, 8, 7, 0]	guanine nucleotide transport
GO_0001410	[6, 8, 3, 8, 0]	chlamydospore formation
GO_0001501	[1, 4, 8, 1, 2, 0]	skeletal system development
GO_0001502	[1, 6, 3, 5, 4, 0]	cartilage condensation
